unique_id,Primary_Name,Secondary_Name,Fathers_me,Birthplace,Birthplace_Code,Certainty_of_Birthplace,Work/Living_Places,Work/Living_Places_Code,Endeavor_codes,Endeavors,Era,Century,Fame,philosophy,culture,economy,politics,military,religion
Acilius Glabrio (4)_9,Acilius Glabrio (4),Manius,,,,3,"Rome,Alba","0,0","407,504,402",,26,,0.2,0,1,0,1,0,0
Acilius Glabrio (2)_10,Acilius Glabrio (2),Manius,,,,1,Rome,0,"425,402",,18,,0.2,0,0,0,1,0,0
Acilius Glabrio (3)_11,Acilius Glabrio (3),Manius,,,,1,"Rome,Bithynia,Pontus","0,2057,2264","425,420,407,403,402",,20,,0.4,0,0,0,1,0,0
Acusilaus_12,Acusilaus,,,Argos,115,2,Argos,0,"104,",,NA,-6,,0,1,0,0,0,0
Ada_13,Ada,,Hecatomnus,Caria,2076,2,Caria,0,"403,603",,9,,,0,0,0,1,0,0
Adrastus (2)_14,Adrastus (2),,,Aphrodisias,1005,1,Aphrodisias,1005,"102,110",,,2,0.2,0,1,0,0,0,0
Adrianus_15,Adrianus,,,Tyre,2333,1,"Tyre,Rome,Ephesus,Athens,Rome","694,0,0,0,0","109,",,30,,0.1,1,0,0,0,0,0
Aedesisus_16,Aedesisus,,,Cappadocia,2072,1,Pergamum,828,"102,110",,32,,0.2,1,1,0,0,0,0
Aelian_17,Aelian,Claudius Aelianus,,Praeneste,2265,2,"Caesaria,Rome","0,0","102,",,31,,,0,0,0,0,0,0
Aelianus_18,Aelianus,,,,,3,NA,0,"107,",,,2,0.1,0,1,0,0,0,0
Aelius_19,Aelius,Lucius,,Rome,2271,1,Rome,0,"104,102",,16,,0.2,0,1,0,0,0,0
Aelius Antipater_20,Aelius Antipater,,,Hieropolis,,1,"Rome,Bithynia","0,0","109,422,110,402,403,000",,30,,,1,1,0,1,0,0
Aelius Lucius_21,Aelius Lucius,,,Lanuvium,2173,3,Rome,0,"104,114,102,0",,18,,,1,1,0,0,0,0
Aelius Caesar_22,Aelius Caesar,Lucius,,,,3,"Rome,Pannonia","0,0","407,407,406",,28,,,0,0,0,1,0,0
Aelius Gallus_23,Aelius Gallus,,,,,3,"Rome,Egypt,Arabia Fellix","0,0","408,406,304,304",,22,,,1,0,0,1,0,0
Aelius Marcianus_24,Aelius Marcianus,,,eastern empire,2122,2,NA,0,"409,107",,31,,,0,1,0,0,0,0
Aelius Melissus_25,Aelius Melissus,,,,,3,NA,0,"114,",,28,,,1,0,0,0,0,0
Aelius Paetus_26,Aelius Paetus,Sextus,,,,3,Rome,0,"409,107,407",,15,,,0,1,0,1,0,0
Aelius Promotus_27,Aelius Promotus,,,Alexandria,2014,2,Alexandria,0,"304,107",,,2,,1,1,0,0,0,0
Aelius Seianus_28,Aelius Seianus,Lucius,L. Seius Strabo,Volsinii,2344,3,Rome,0,"408,407,504",,23,,,0,1,0,1,0,0
Aelius Tubero_29,Aelius Tubero,Lucius,,,,3,"Rome,Pharsalus","0,0","420,108,102",,21,,,1,0,0,1,0,0
Aelius Tubero_30,Aelius Tubero,Quintus,Lucius Aelius Tubero,,,3,"Rome,Pharsalus","0,0","409,107,108",,22,,,1,1,0,0,0,0
Aemilius Aemilianus_31,Aemilius Aemilianus,Marcus,,,,3,"Moesia,Italy","0,0","406,601",,33,,0.3,0,0,0,1,0,0
Aemilius Asper_32,Aemilius Asper,,,,,3,NA,0,"104,114",,,2,,1,1,0,0,0,0
Aemilius Laetus_33,Aemilius Laetus,Quintus,,Thaee,2312,3,Rome,0,"408,504",,30,,,0,1,0,1,0,0
Aemilius Lepidus_34,Aemilius Lepidus,Manius,grandson of (three),,,3,"Rome,Asia","0,0","410,407",,23,,0.1,0,0,0,1,0,0
Aemilius Lepidus (1)_35,Aemilius Lepidus (1),Marcus,,,,3,"Rome,Abydos,Sicily,Liguria,Mutina,Parma,Liguria,Gaul","0,765,0,0,0,0,0,0","420,407,406,403,404,000,000,000",,15,,0.3,1,1,0,1,0,0
Aemilius Lepidus (2)_36,Aemilius Lepidus (2),Marcus,descendant of (one),,,3,"Rome,Gaul,Rome,Sardinia","0,0,0,0","407,410",,19,,0.3,0,0,0,1,0,0
Aemilius Lepidus (3)_37,Aemilius Lepidus (3),Marcus,son of (two),,,3,"Rome,Spain,Gaul, Rome,Africa,Sicily,Circeii","0,0,0,0,0,0,0","407,422,406,403,407",,21,,0.6,0,0,0,1,0,0
Aemilius Lepidus (4)_38,Aemilius Lepidus (4),Marcus,son of (three),,,3,Rome,0,"504,",,21,,0.1,0,1,0,0,0,0
Aemilius Lepidus (5)_39,Aemilius Lepidus (5),Marcus,Paullus Aemilius Lepidus,,,3,"Rome,Pannonia,Dalmatia,Tarraconensis,Asia","0,0,0,0,0","407,417,406,424",,22,,,0,0,0,1,0,0
